"PGA1" "stnm" "stlon" "stlat" "Repi" "siteClass" "AVS30" "event.num" "mag" "eq.type" "depth" "resids"
0.0341180713533042 "AOMH17" 141.3374 40.4492 450.873851 "hard-soil" 378 20040408020.69 5.6 "intra-plate" 49 0.281960944745768
1.41259897878196 "HKD084" 144.123 43.1141 77.65705 "rock" 431 200412030612.69 5.9 "inter-plate" 47.3 -0.185432847840804
1.13152579751348 "HKD081" 144.3901 43.6427 102.557306 "hard-soil" 320 200412030612.69 5.9 "inter-plate" 47.3 -0.211453909857332
1.25838668908071 "HKD065" 145.0565 43.7938 106.97508 "rock" 438 200412030612.69 5.9 "inter-plate" 47.3 -0.0649375124612026
0.880361748193687 "HKD095" 143.2137 42.9311 145.859211 "hard-soil" 333 200412030612.69 5.9 "inter-plate" 47.3 -0.291102866385212
0.960462262805457 "HKD096" 143.1356 42.6975 152.841432 "hard-soil" 382 200412030612.69 5.9 "inter-plate" 47.3 -0.187542196348204
0.850092999742264 "HKD038" 142.5662 43.1666 201.419201 "rock" 510 200412030612.69 5.9 "inter-plate" 47.3 0.186371144751905
0.414656865857862 "HKD105" 142.0543 42.4825 244.127554 "rock" 375 200412030612.69 5.9 "inter-plate" 47.3 -0.16518655855133
0.587807912965271 "HKD185" 141.4021 42.7755 293.862186 "hard-soil" 311 200412030612.69 5.9 "inter-plate" 47.3 0.285367974804869
0.489595291149822 "HKD134" 141.0791 42.6711 320.97685 "hard-soil" 372 200412030612.69 5.9 "inter-plate" 47.3 0.378488316431484
2.05130557173483 "KSRH06" 144.4285 43.22 63.106279 "soft-soil" 326 200412030612.69 5.9 "inter-plate" 47.3 0.274847638059448
1.54166664315605 "KSRH05" 144.2338 43.2556 77.791177 "soft-soil" 388 200412030612.69 5.9 "inter-plate" 47.3 -0.0831998791546325
1.90728513903758 "NMRH02" 144.9618 43.6772 93.936172 "soft-soil" 315 200412030612.69 5.9 "inter-plate" 47.3 0.428681961651194
1.37139576938852 "NMRH01" 145.0246 43.785 105.90621 "soft-soil" 437 200412030612.69 5.9 "inter-plate" 47.3 0.0424398518941036
0.893861976564773 "TKCH02" 143.8983 43.3822 108.122846 "hard-soil" 440 200412030612.69 5.9 "inter-plate" 47.3 -0.386504485238663
1.33179791851279 "TKCH05" 143.6181 43.1211 116.738068 "hard-soil" 337 200412030612.69 5.9 "inter-plate" 47.3 0.00304193273286324
0.750015117302387 "ABSH14" 144.1835 43.7228 118.8377 "medium-soil" 351 200412030612.69 5.9 "inter-plate" 47.3 -0.505056779043168
1.30442210376879 "ABSH09" 144.8071 43.9269 122.582717 "soft-soil" 394 200412030612.69 5.9 "inter-plate" 47.3 0.117957195361396
0.694406079721963 "TKCH01" 143.683 43.4683 127.93918 "rock" 444 200412030612.69 5.9 "inter-plate" 47.3 -0.403941072711639
0.981777847694567 "TKCH03" 143.4317 43.2708 136.297953 "soft-soil" 372 200412030612.69 5.9 "inter-plate" 47.3 -0.19115069413839
1.0288742178522 "ABSH08" 144.9935 44.064 136.87702 "rock" 517 200412030612.69 5.9 "inter-plate" 47.3 -0.00836561324976159
0.461411629180145 "ABSH15" 143.51 43.6352 149.976692 "hard-soil" 464 200412030612.69 5.9 "inter-plate" 47.3 -0.422354232341595
1.03223997794715 "TKCH08" 143.152 42.4865 155.822592 "soft-soil" 353 200412030612.69 5.9 "inter-plate" 47.3 -0.145194974840956
0.617549470741384 "ABSH13" 143.4514 43.7419 160.909256 "medium-soil" 463 200412030612.69 5.9 "inter-plate" 47.3 -0.260984427204295
1.06789894703858 "TKCH11" 142.883 42.8742 172.60163 "hard-soil" 458 200412030612.69 5.9 "inter-plate" 47.3 0.114533267278566
0.80481904500844 "TKCH04" 142.9176 43.1739 173.506802 "hard-soil" 445 200412030612.69 5.9 "inter-plate" 47.3 -0.0242339414841434
0.8364298908828 "HDKH07" 142.9164 42.133 187.635883 "rock" 459 200412030612.69 5.9 "inter-plate" 47.3 -0.15222130612948
0.93570069035638 "KKWH08" 142.6562 43.0406 192.218765 "medium-soil" 310 200412030612.69 5.9 "inter-plate" 47.3 0.124833141758876
0.577566473685091 "KKWH14" 142.5245 43.3841 210.152071 "rock" 537 200412030612.69 5.9 "inter-plate" 47.3 -0.00229446975080527
0.502331236845277 "HDKH02" 142.4054 42.7061 212.31846 "hard-soil" 443 200412030612.69 5.9 "inter-plate" 47.3 -0.231395138044477
-0.00975352032445184 "KKWH15" 142.7656 43.8546 213.42776 "rock" 528 200412030612.69 5.9 "inter-plate" 47.3 -0.482459020852896
0.734928739130077 "HDKH03" 142.3521 42.5934 218.031745 "hard-soil" 341 200412030612.69 5.9 "inter-plate" 47.3 -0.0466159087976294
0.935452244987561 "HDKH06" 142.3572 42.3498 222.947507 "hard-soil" 412 200412030612.69 5.9 "inter-plate" 47.3 0.242626761439186
-0.0616749504233852 "ABSH03" 143.2407 44.3843 223.104328 "rock" 499 200412030612.69 5.9 "inter-plate" 47.3 -0.444468077367188
0.196659417719946 "KKWH07" 142.3409 43.3697 224.079261 "hard-soil" 402 200412030612.69 5.9 "inter-plate" 47.3 -0.368979110705
0.125824661718337 "KKWH13" 142.3906 43.5113 224.729349 "hard-soil" 355 200412030612.69 5.9 "inter-plate" 47.3 -0.425834947441093
0.310490665103269 "HDKH01" 142.2296 42.7031 226.702094 "hard-soil" 368 200412030612.69 5.9 "inter-plate" 47.3 -0.230323061102711
0.0440483534336174 "IBUH02" 142.1285 42.8714 234.24638 "rock" 541 200412030612.69 5.9 "inter-plate" 47.3 -0.43850933105011
-0.0546368006911581 "ABSH02" 143.0264 44.4234 237.638295 "rock" 501 200412030612.69 5.9 "inter-plate" 47.3 -0.336286239175183
-0.27094541841172 "KKWH05" 142.6303 44.2921 250.552933 "rock" 595 200412030612.69 5.9 "inter-plate" 47.3 -0.393718004638586
-0.40443323860682 "SRCH06" 142.0776 43.6948 255.435118 "hard-soil" 320 200412030612.69 5.9 "inter-plate" 47.3 -0.772892248519938
-0.0323560964787633 "SRCH07" 141.8978 43.23 256.168704 "hard-soil" 315 200412030612.69 5.9 "inter-plate" 47.3 -0.442517340794022
0.599026515040717 "IBUH01" 141.8191 42.8739 259.527289 "medium-soil" 306 200412030612.69 5.9 "inter-plate" 47.3 0.115560488667019
